Month,Group,Commodity,Unit,Quantity_2025,Rupees_2025,Dollar_2025,Quantity_2024,Rupees_2024,Dollar_2024
2025-06,Transport Group,CBU,   - ,,9504.068351999998,33583.0,,13842.388964,49714.165
2025-06,Transport Group,ABUSESTRUCKS OTH HEAVY VEHICLES,   - ,,3673.693247,12981.0,,4353.876073,15636.78
2025-06,Transport Group,BMOTOR CARS,   - ,,5756.995347,20343.0,,9394.30528,33739.049
2025-06,Transport Group,CMOTOR CYCLES,   - ,,73.379758,259.0,,94.207611,338.336
2025-06,Transport Group,CKDSKD,   - ,,62116.174911,219491.0,,39022.494095,140147.485
2025-06,Transport Group,ABUSESTRUCKS OTH HEAVY VEHICLES,   - ,,17261.167693,60993.0,,9441.583119,33909.011
2025-06,Transport Group,BMOTOR CARS,   - ,,43424.345847,153443.0,,28897.898934,103785.468
2025-06,Transport Group,CMOTOR CYCLES,   - ,,1430.661371,5055.0,,683.012042,2453.006
2025-06,Transport Group,PARTS ACCESSORIES,   - ,,7496.469086,26489.0,,5646.238081,20278.158
2025-06,Transport Group,OTHERS,   - ,,498.458109,1761.0,,945.523851,3395.814
2025-06,Transport Group,AIRCRAFTS SHIPS AND BOATS,   - ,,7203.536542,25454.0,,1970.182559,7075.821
2025-06,Transport Group,OTHERS TRANSPORT EQUIPMENTS,   - ,,1182.890791,4180.0,,11202.313715,40232.602
2025-06,Petroleum Group,PETROLEUM PRODUCTS,  MT,1053325.1881602,144188.950248,509501.0,1122279.0,190589.923269,684495.021
2025-06,Petroleum Group,PETROLEUM CRUDE,  MT,789077.3199142857,131568.421593,464906.0,785538.0,128994.520727,463277.951
2025-06,Petroleum Group,NATURAL GAS LIQUIFIED,   - ,,74967.271725,264902.0,,102615.45642,368538.742
2025-06,Petroleum Group,PETROLEUM GAS LIQUIFIED,   - ,,20427.97701,72184.0,,15309.086583,54981.895
2025-06,Petroleum Group,OTHERS,   - ,,4.644466,16.0,,1.579493,5.673
2025-06,Textile Group,RAW COTTON,  MT,46509.96183759999,23021.575081,81348.0,36984.0,21834.473876,78417.509
2025-06,Textile Group,SYNTHETIC FIBRE,  MT,35138.49891800001,13553.248691,47891.0,33738.124,14973.940203,53778.236
2025-06,Textile Group,SYNTHETIC ARTIFICIAL SILK YARN,  MT,25067.785447,13057.686435,46140.0,29891.622,13927.117595,50018.62
2025-06,Textile Group,WORN CLOTHING,  MT,87849.8591244999,11400.614578,40285.0,92594.613,11162.245921,40088.691
2025-06,Textile Group,OTHR TEXTILE ITEMS, - ,,28214.62711,99698.0,,21585.463586,77523.319
2025-06,Agricultural And Other Chemicals Group,FERTILIZER MANUFACTURED, MT,138357.8985,26499.399293,93637.0,51134.0,4821.049753,17314.582
2025-06,Agricultural And Other Chemicals Group,INSECTICIDES, MT,1861.5975,3235.45245,11433.0,2378.17,3858.104411,13856.212
2025-06,Agricultural And Other Chemicals Group,PLASTIC MATERIALS, MT,121054.61769920004,42529.896385,150282.0,153913.769,52904.064797,190002.533
2025-06,Agricultural And Other Chemicals Group,MEDICINAL PRODUCTS, MT,4384.098941199999,24964.091292,88212.0,2647.016,23216.306111,83380.348
2025-06,Agricultural And Other Chemicals Group,OTHERS, - ,,93876.769893,331720.0,,101873.318536,365873.369
2025-06,Metal Group,GOLD,KG,0.0,0.0,0.0,0.0,0.0,0.0
2025-06,Metal Group,IRON AND STEEL SCRAP, MT,188417.3554163,25102.920138,88703.0,218991.0,27397.529405,98396.979
2025-06,Metal Group,IRON AND STEEL, MT,178520.1270973,38642.137586,136545.0,263512.0,48701.352424,174908.682
2025-06,Metal Group,ALUMINIUM WROUGHT WORKED, - ,,4473.98139,15809.0,,4373.885794,15708.603
2025-06,Metal Group,ALL OTHER METALS ARTICALS, - ,,23836.829392,84229.0,,23744.566805,85277.462
2025-06,Miscellaneous Group,RUBBER CRUDE INCL SYNTHRECLAIMED, MT,27377.77202,3703.758449,13087.0,35228.525,6301.454006,22631.379
2025-06,Miscellaneous Group,RUBBER TYRES TUBES, NO,414789.0,2662.315604,9407.0,373791.0,2741.763381,9846.886
2025-06,Miscellaneous Group,WOOD CORK, - ,,2574.000165,9095.0,,2278.627432,8183.588
2025-06,Miscellaneous Group,JUTE, MT,105.0,25.928402,92.0,2472.0,469.307385,1685.497
2025-06,Miscellaneous Group,PAPER PAPER BOARD MANUFTHEREOF, MT,36502.47732480001,9074.86928,32067.0,40426.139,10104.797464,36290.937
Month,Group,COMMODITY,Unit,,,,,,
2025-07,Food Group,MILKCREAM MILK FOOD FOR INFANTS,  MT,6553.51884,4275.961495,15022.99205290031,,92460.507379,331590.60582000006
2025-07,Food Group,WHEAT UNMILLED,  MT,0.0,0.0,0.0,,20618.316049,73951.53563000009
2025-07,Food Group,DRY FRUITS NUTS,  MT,7978.999928999999,2361.137647,8294.53829250078,,6.213293,22.27972
2025-07,Food Group,TEA,  MT,19030.28754,11955.321462,41993.68528749191,,,
2025-07,Food Group,SPICES,  MT,19565.430875,6773.999599,23796.124376378462,,136540.696698,489777.1169700002
2025-07,Food Group,SOYABEAN OIL,  MT,29150.16,9062.273517,31839.76671164609,70565.28860000003,41613.904795,149267.68681
2025-07,Food Group,PALM OIL,  MT,286835.502,86012.920381,302148.776278658,41979.5978181,16082.872466,57689.35304999998
2025-07,Food Group,SUGAR,  MT,395.001,110.338908,388.0030654224564,41457.3820335,21519.553833,77196.17855000004
2025-07,Food Group,PULSES LEGUMINOUS VEGETABLES,  MT,110097.912,21009.8326,73836.52709288521,84676.4836497,10675.059358,38284.8324700001
2025-07,Food Group,ALL OTHERS FOOD ITEMS,   - ,,70167.69963,246558.98791760625,,46649.306246,167339.0660900001
2025-07,Machinery Group,POWER GENERATING MACHINERY,   - ,,16195.287361,56875.61940226053,83560.9551995,13158.268224,47190.17329
2025-07,Machinery Group,OFFICE MACHINE INCLDATA PROC EQUIP,   - ,,17851.758542,62742.50737052197,2396.994352,3223.897247,11563.62764
2025-07,Machinery Group,TEXTILE MACHINERY,   - ,,19089.23283,67106.95722764207,164234.3440475,57769.944526,207237.55820999996
2025-07,Machinery Group,CONSTRUCTION MINING MACHINERY,   - ,,3128.413717,10990.370926487183,2964.9872805000014,22811.810983,81824.96648000002
2025-07,Machinery Group,ELECTRICAL MACHINERY APPARATUS,   - ,,83232.418127,292371.0131676572,,131094.715619,470214.29002
2025-07,Machinery Group,TELE COM,   - ,,54657.877829000005,191999.40010275703,,,
2025-07,Machinery Group,A MOBILE PHONE,   - ,,41384.864606,145344.90833594085,,127397.06963800002,456977.6359100001
2025-07,Machinery Group,B OTHER APPARATUS,   - ,,13273.013223,46654.491766816216,27.8496,611.337671,2193.17012
2025-07,Machinery Group,AGRICULTURAL MACHINERY IMPLEMENTS,   - ,,4100.877515,14410.687113047888,273993.5971239,45328.484637,162588.00695000016
2025-07,Machinery Group,OTHER MACHINERY,   - ,,65771.751978,231037.58807058207,258419.0836665,48460.498067,173844.19749
2025-07,Transport Group,ROAD MOTOR VEH BUILD UNITCKDSKD,   - ,,77290.800967,271395.0686795822,,,
2025-07,Transport Group,CBU,   - ,,11998.142244,42168.22590579361,,25596.410805,91814.90528
2025-07,Transport Group,ABUSESTRUCKS OTH HEAVY VEHICLES,   - ,,2602.329753,9152.30184111463,47150.022434,7432.180021,26659.848289999994
2025-07,Transport Group,BMOTOR CARS,   - ,,9335.404687,32803.41604660575,725335.0,4371.893273,15681.287910000008
2025-07,Transport Group,CMOTOR CYCLES,   - ,,60.407804,212.50801807322495,,2566.505727,9205.485780000005
2025-07,Transport Group,CKDSKD,   - ,,54096.270799000005,189899.5384593573,2196.7791,403.694903,1448.1985100000002
2025-07,Transport Group,ABUSESTRUCKS OTH HEAVY VEHICLES,   - ,,14471.440431,50780.5381874357,38214.4258506,10822.136881,38820.08479
2025-07,Transport Group,BMOTOR CARS,   - ,,38227.66171,134211.2345820426,,,
2025-07,Transport Group,CMOTOR CYCLES,   - ,,1397.168658,4907.765689879023,,,
2025-07,Transport Group,PARTS ACCESSORIES,   - ,,9421.370169,33095.500095003415,,,
2025-07,Transport Group,OTHERS,   - ,,1775.017755,6231.804219427876,,,
2025-07,Transport Group,AIRCRAFTS SHIPS AND BOATS,   - ,,3277.399017,11533.810420970374,,,
2025-07,Transport Group,OTHERS TRANSPORT EQUIPMENTS,   - ,,6890.212032,24162.51162362945,,,
2025-07,Petroleum Group,PETROLEUM PRODUCTS,  MT,1233707.4090267,180489.387548,634771.237150071,,,
2025-07,Petroleum Group,PETROLEUM CRUDE,  MT,758383.5343103448,113168.525936,398317.6921215907,,,
2025-07,Petroleum Group,NATURAL GAS LIQUIFIED,   - ,,65727.79325,230804.96319189295,,,
2025-07,Petroleum Group,PETROLEUM GAS LIQUIFIED,   - ,,23320.973494,81897.44815487614,,,
2025-07,Petroleum Group,OTHERS,   - ,,1.539485,5.395198312222536,,,
2025-07,Textile Group,RAW COTTON,  MT,80519.022845,40735.449567,143105.07805668883,,,
2025-07,Textile Group,SYNTHETIC FIBRE,  MT,53844.030925,21442.855392,75359.46904491769,,,
2025-07,Textile Group,SYNTHETIC ARTIFICIAL SILK YARN,  MT,63562.816922700025,30201.443455,106091.4337700162,,,
2025-07,Textile Group,WORN CLOTHING,  MT,92041.26926129998,12531.213882,44018.253515765806,,,
2025-07,Textile Group,OTHR TEXTILE ITEMS, - ,,63958.515575,224712.8639244626,,,
2025-07,Agricultural And Other Chemicals Group,FERTILIZER MANUFACTURED, MT,72961.726879,12002.024997,42209.23698570139,,,
2025-07,Agricultural And Other Chemicals Group,INSECTICIDES, MT,3111.944734,3979.347116,13990.78530772668,,,
2025-07,Agricultural And Other Chemicals Group,PLASTIC MATERIALS, MT,231869.4058404,77290.803468,271591.2882660322,,,
2025-07,Agricultural And Other Chemicals Group,MEDICINAL PRODUCTS, MT,3035.2998745000014,28360.473567,99662.3352736855,,,
2025-07,Agricultural And Other Chemicals Group,OTHERS, - ,,132405.002547,465238.3144786218,,,
2025-07,Metal Group,GOLD,KG,0.0,0.017003,0.05971202809482,,,
2025-07,Metal Group,IRON AND STEEL SCRAP, MT,311887.5311913,43883.106498,154172.4029391722,,,
2025-07,Metal Group,IRON AND STEEL, MT,343257.0,68994.395969,242483.5096193381,,,
2025-07,Metal Group,ALUMINIUM WROUGHT WORKED, - ,,7299.042372,25643.04381218696,,,
2025-07,Metal Group,ALL OTHER METALS ARTICALS, - ,,35590.558806,125033.91033298936,,,
2025-07,Miscellaneous Group,RUBBER CRUDE INCL SYNTHRECLAIMED, MT,51041.8667989,9312.695453,32723.19028950365,,,
2025-07,Miscellaneous Group,RUBBER TYRES TUBES, NO,1202736.0,6749.495285,23716.764708215967,,,
2025-07,Miscellaneous Group,WOOD CORK, - ,,2698.200473,9481.191284407694,,,
2025-07,Miscellaneous Group,JUTE, MT,2198.32034,527.439693,1851.314948364733,,,
2025-07,Miscellaneous Group,PAPER PAPER BOARD MANUFTHEREOF, MT,50445.46562669999,12962.373454,45545.15700219407,,,
Month,Group,COMMODITY,Unit,,,,,,
2025-08,Food Group,MILKCREAM MILK FOOD FOR INFANTS,  MT,3890.476873,2681.494779,9483.014917131291,4481.028772,3319.286641,11897.992149999998
2025-08,Food Group,WHEAT UNMILLED,  MT,0.0,0.0,0.0,0.0,0.0,0.0
2025-08,Food Group,DRY FRUITS NUTS,  MT,9697.828999999998,2682.038401,9489.436241614472,7540.062238,2114.51411,7578.98748
2025-08,Food Group,TEA,  MT,23409.9225821,15545.517245,54987.53637976858,23989.031130000003,16997.509632,60924.29024999982
2025-08,Food Group,SPICES,  MT,13035.7375143,4591.57969,16243.306007799754,17000.103669,5395.333257,19336.242429999995
2025-08,Food Group,SOYABEAN OIL,  MT,9889.0,3079.817745,10898.00040885048,21960.015,5911.796696,21193.895259999998
2025-08,Food Group,PALM OIL,  MT,323130.1882,95399.408323,337480.6725281024,273160.926,71327.695781,255690.32289000004
2025-08,Food Group,SUGAR,  MT,164.11579999999998,51.786359,183.0279870821932,416.12657,115.01811,412.36675
2025-08,Food Group,PULSES LEGUMINOUS VEGETABLES,  MT,104546.382208,20779.823521,73481.3458455671,84301.606,18491.275961,66280.46704000003
2025-08,Food Group,ALL OTHERS FOOD ITEMS,   - ,,60353.980737,213522.98137239297,,32965.099402,118159.51292000012
2025-08,Machinery Group,POWER GENERATING MACHINERY,   - ,,14311.772939,50629.399344424535,,14471.177514,51866.41735999998
2025-08,Machinery Group,OFFICE MACHINE INCLDATA PROC EQUIP,   - ,,12391.647145,43831.6210275693,,10131.570239,36317.43003999998
2025-08,Machinery Group,TEXTILE MACHINERY,   - ,,14709.988759,52030.76721739167,,9627.417517,34510.35409
2025-08,Machinery Group,CONSTRUCTION MINING MACHINERY,   - ,,4801.185616,16985.42245065246,,2287.616637,8199.972100000005
2025-08,Machinery Group,ELECTRICAL MACHINERY APPARATUS,   - ,,63395.718703,224186.42906076805,,71957.648299,257925.65006999965
2025-08,Machinery Group,TELE COM,   - ,,57754.954556,204310.10127431547,,33283.835479,119309.75063999988
2025-08,Machinery Group,A MOBILE PHONE,   - ,,43860.633767,155164.13119006806,,22118.229442,79289.78716999985
2025-08,Machinery Group,B OTHER APPARATUS,   - ,,13894.320789,49145.970084247405,,11165.606037,40019.96347000002
2025-08,Machinery Group,AGRICULTURAL MACHINERY IMPLEMENTS,   - ,,4239.006334,14993.156535260783,,3125.205182,11202.730659999992
2025-08,Machinery Group,OTHER MACHINERY,   - ,,49062.902159,173529.99776809182,,43904.972456,157376.08842000004
2025-08,Transport Group,ROAD MOTOR VEH BUILD UNITCKDSKD,   - ,,86275.023001,305110.0250969624,,53776.174394,192761.56315000003
2025-08,Transport Group,CBU,   - ,,14404.379197,50921.83545534089,,9430.970165,33803.42
2025-08,Transport Group,ABUSESTRUCKS OTH HEAVY VEHICLES,   - ,,7030.750791,24857.71032291276,,2580.838968,9250.3067
2025-08,Transport Group,BMOTOR CARS,   - ,,7309.416649,25837.162999497123,,6809.483795,24407.46002
2025-08,Transport Group,CMOTOR CYCLES,   - ,,64.211757,226.9621329310108,,40.647402,145.6532800000001
2025-08,Transport Group,CKDSKD,   - ,,62982.411447,222757.68463624507,,36770.291476,131805.03867
2025-08,Transport Group,ABUSESTRUCKS OTH HEAVY VEHICLES,   - ,,12819.866704,45334.2259618391,,8180.422672,29326.05356
2025-08,Transport Group,BMOTOR CARS,   - ,,48307.820271,170865.376819596,,27580.253263,98859.48916
2025-08,Transport Group,CMOTOR CYCLES,   - ,,1854.724472,6558.08185480996,,1009.615541,3619.49595
2025-08,Transport Group,PARTS ACCESSORIES,   - ,,8148.678329,28814.723125787023,,6742.41781,24168.580070000004
2025-08,Transport Group,OTHERS,   - ,,739.554028,2615.781879589357,,832.494943,2984.52441
2025-08,Transport Group,AIRCRAFTS SHIPS AND BOATS,   - ,,2329.842189,8244.558637392025,,1514.983449,5433.17036
2025-08,Transport Group,OTHERS TRANSPORT EQUIPMENTS,   - ,,1534.739685,5427.693350307425,,1014.311742,3635.942330000001
2025-08,Petroleum Group,PETROLEUM PRODUCTS,  MT,654283.2248153999,100299.922433,355060.78383189696,610068.242178,95446.099371,342145.81141999963
2025-08,Petroleum Group,PETROLEUM CRUDE,  MT,982917.2341204104,138204.676217,488711.4074034692,1072643.0,162679.0,584042.0
2025-08,Petroleum Group,NATURAL GAS LIQUIFIED,   - ,,78227.331716,276842.5811083935,,106422.267523,381489.98485
2025-08,Petroleum Group,PETROLEUM GAS LIQUIFIED,   - ,,20365.934673,72039.7786902359,,25088.765872,89922.61618999984
2025-08,Petroleum Group,OTHERS,   - ,,3.415434,12.066284811587954,,11.995684,42.98487
2025-08,Textile Group,RAW COTTON,  MT,63223.4493145,31823.678552,112601.41704931392,89206.71484949999,49231.142733,176476.99715999982
2025-08,Textile Group,SYNTHETIC FIBRE,  MT,48757.696697900006,19455.657015,68827.0372754111,43543.31042570001,17213.020917,61698.84127
2025-08,Textile Group,SYNTHETIC ARTIFICIAL SILK YARN,  MT,43552.952253200034,20398.789966,72155.07900393014,38591.33539419998,20705.504821,74213.13991000006
2025-08,Textile Group,WORN CLOTHING,  MT,90539.91150659992,12311.934746,43539.93521423646,98261.8649889998,12554.026728,44990.123679999626
2025-08,Textile Group,OTHR TEXTILE ITEMS, - ,,58603.718448,207255.0196459406,,48556.308572,174056.0915999997
2025-08,Agricultural And Other Chemicals Group,FERTILIZER MANUFACTURED, MT,84528.768075,16275.214914,57607.52884050807,178830.4470039,28833.405684,103335.72415
2025-08,Agricultural And Other Chemicals Group,INSECTICIDES, MT,2308.203037,2578.762613,9120.294425211288,1883.9966535,3064.232504,10982.50423
2025-08,Agricultural And Other Chemicals Group,PLASTIC MATERIALS, MT,203195.16803050003,67395.016625,238382.8607387861,162119.5936943001,57867.854086,207428.46832999997
2025-08,Agricultural And Other Chemicals Group,MEDICINAL PRODUCTS, MT,2533.2172852999997,31441.383782,111250.16871198584,3547.821001899999,28527.845305,102267.87282999998
2025-08,Agricultural And Other Chemicals Group,OTHERS, - ,,124811.49971,441511.28062899766,,120484.313466,431909.43912999966
2025-08,Metal Group,GOLD,KG,0.0,0.0,0.0,21.674,485.203905,1739.05526
2025-08,Metal Group,IRON AND STEEL SCRAP, MT,312175.46272350004,43598.99416,154232.31138278404,284222.8385461,48009.58249,172079.95175999994
2025-08,Metal Group,IRON AND STEEL, MT,370482.0,64375.168203,227646.4464812044,173875.55140820012,35529.229559,127346.36853
2025-08,Metal Group,ALUMINIUM WROUGHT WORKED, - ,,4717.159719,16685.9345678267,,6657.474068,23864.330540000006
2025-08,Metal Group,ALL OTHER METALS ARTICALS, - ,,28055.370666,99212.19067713378,,28495.453608,102156.06186000005
2025-08,Miscellaneous Group,RUBBER CRUDE INCL SYNTHRECLAIMED, MT,46697.4720371,8364.077445,29585.989183455327,60320.2928782,8701.752321,31191.581680000003
2025-08,Miscellaneous Group,RUBBER TYRES TUBES, NO,960170.0,5450.433951,19275.4325661876,738101.0,3718.114328,13327.761450000004
2025-08,Miscellaneous Group,WOOD CORK, - ,,2329.213703,8239.422783775979,,2677.336212,9596.428750000005
2025-08,Miscellaneous Group,JUTE, MT,2112.5190999999995,508.037611,1796.8581870616022,679.7615,113.749183,407.68164
2025-08,Miscellaneous Group,PAPER PAPER BOARD MANUFTHEREOF, MT,44942.0315385,10814.706355,38254.62069758393,39989.61124789999,10623.706531,38079.37842000001
Month,Group,COMMODITY,Unit,,,,,,
2025-09,Food Group,MILKCREAM MILK FOOD FOR INFANTS,  MT,4628.46247,4018.167076,14249.5057239224,4210.537827499999,2674.774344,9597.000117951466
2025-09,Food Group,WHEAT UNMILLED,  MT,0.0,0.0,0.0,0.0,0.0,0.0
2025-09,Food Group,DRY FRUITS NUTS,  MT,19026.981629999995,5128.915802,18190.54300250521,15133.264414300002,3525.466608,12651.709603680913
2025-09,Food Group,TEA,  MT,21660.34588,14479.433916,51353.72406010422,21254.021863,14808.126213,53132.11158436857
2025-09,Food Group,SPICES,  MT,14189.047384,5375.13817,19063.10695952429,11811.684655,3919.94329,14062.46432719865
2025-09,Food Group,SOYABEAN OIL,  MT,13015.11892,3912.212413,13873.551276503962,7500.0,2050.542614,7360.452773547603
2025-09,Food Group,PALM OIL,  MT,343161.99242,101742.794415,360831.999015607,266218.3405,69983.007195,251120.2944405833
2025-09,Food Group,SUGAR,  MT,30728.011,5189.527187,18409.01212435733,297.052,88.8131,318.64010469395475
2025-09,Food Group,PULSES LEGUMINOUS VEGETABLES,  MT,96272.51,16042.757785,56897.417090674346,112393.137,19996.762894,71762.54966442309
2025-09,Food Group,ALL OTHERS FOOD ITEMS,   - ,,64626.723504,229210.57659218137,,46521.569283,166889.34027322903
2025-09,Machinery Group,POWER GENERATING MACHINERY,   - ,,16716.409319,59275.81298812247,,16818.591187,60352.00230218841
2025-09,Machinery Group,OFFICE MACHINE INCLDATA PROC EQUIP,   - ,,16438.860828,58298.64126245402,,11882.719054,42637.62814614616
2025-09,Machinery Group,TEXTILE MACHINERY,   - ,,14409.164639,51099.25149060373,,11368.092383,40784.95638104376
2025-09,Machinery Group,CONSTRUCTION MINING MACHINERY,   - ,,4835.293485,17159.048434804845,,3685.95149,13227.362610594306
2025-09,Machinery Group,ELECTRICAL MACHINERY APPARATUS,   - ,,74284.590606,263434.53441329306,,77598.858658,278397.99210939254
2025-09,Machinery Group,TELE COM,   - ,,75964.951308,269463.62408685766,,42778.43399,153507.9514899049
2025-09,Machinery Group,A MOBILE PHONE,   - ,,56170.460452,199270.37509011917,,28556.035547,102482.49584209926
2025-09,Machinery Group,B OTHER APPARATUS,   - ,,19794.490856,70193.24899673849,,14222.398443,51025.45564780562
2025-09,Machinery Group,AGRICULTURAL MACHINERY IMPLEMENTS,   - ,,2783.794644,9872.32094871733,,3426.407243,12297.834512650874
2025-09,Machinery Group,OTHER MACHINERY,   - ,,50623.488735,179751.6690112305,,46069.201202,165278.87642794667
2025-09,Transport Group,ROAD MOTOR VEH BUILD UNITCKDSKD,   - ,,109649.548658,388866.66445430863,,46471.345733,166747.22579069296
2025-09,Transport Group,CBU,   - ,,38673.375277,137146.3043738004,,7211.472799,25865.5696350014
2025-09,Transport Group,ABUSESTRUCKS OTH HEAVY VEHICLES,   - ,,29778.451889,105605.7905185774,,1601.596044,5743.045760793356
2025-09,Transport Group,BMOTOR CARS,   - ,,8829.099377,31307.171274922785,,5561.436329,19948.714776290715
2025-09,Transport Group,CMOTOR CYCLES,   - ,,65.824011,233.3425803001954,,48.440426,173.80909791732947
2025-09,Transport Group,CKDSKD,   - ,,60356.297353,214059.5572544913,,30331.532403,108848.53702141548
2025-09,Transport Group,ABUSESTRUCKS OTH HEAVY VEHICLES,   - ,,15491.073085,54941.60978187671,,7085.763611,25426.065481799207
2025-09,Transport Group,BMOTOR CARS,   - ,,43098.37912,152851.16006998843,,22401.197632,80391.89052548361
2025-09,Transport Group,CMOTOR CYCLES,   - ,,1766.845148,6266.787402626114,,844.57116,3030.581014132662
2025-09,Transport Group,PARTS ACCESSORIES,   - ,,9898.160608,35101.28739682887,,8109.804492,29095.59927323774
2025-09,Transport Group,OTHERS,   - ,,721.71542,2559.515429188083,,818.536039,2937.5198610383413
2025-09,Transport Group,AIRCRAFTS SHIPS AND BOATS,   - ,,12297.509024,43626.58269544298,,2137.205079,7657.893205029763
2025-09,Transport Group,OTHERS TRANSPORT EQUIPMENTS,   - ,,1508.273084,5348.832589931343,,1090.798196,3912.592345087944
2025-09,Petroleum Group,PETROLEUM PRODUCTS,  MT,789099.2178573,114413.972663,405850.3167611208,897906.9851471,143098.528473,513409.6527055829
2025-09,Petroleum Group,PETROLEUM CRUDE,  MT,1079016.0,152734.0,541324.0,905380.515848123,135039.312084,485328.0
2025-09,Petroleum Group,NATURAL GAS LIQUIFIED,   - ,,58588.496911,207850.70395523484,,87007.75505,312340.35160939634
2025-09,Petroleum Group,PETROLEUM GAS LIQUIFIED,   - ,,22875.355769,81131.92187944325,,21248.915705,76244.87133762734
2025-09,Petroleum Group,OTHERS,   - ,,11.591404,41.104668541436695,,16.99254,60.94324448435653
2025-09,Textile Group,RAW COTTON,  MT,76452.81516469998,38731.081392,137364.87173228656,75146.76994649999,41397.239953,148526.84116834425
2025-09,Textile Group,SYNTHETIC FIBRE,  MT,54728.043632700006,19502.617868,69164.61418396496,30028.278905000003,12366.430991,44352.39593648135
2025-09,Textile Group,SYNTHETIC ARTIFICIAL SILK YARN,  MT,52481.57637349999,24451.083071,86717.21972338791,43843.4474771,22076.922879,79206.83057646977
2025-09,Textile Group,WORN CLOTHING,  MT,108045.79332930013,14498.292104,51418.86959960788,92867.21200599996,12675.886391,45477.42021742338
2025-09,Textile Group,OTHR TEXTILE ITEMS, - ,,71112.673501,252189.70387291088,,49573.015974,177869.3585644807
2025-09,Agricultural And Other Chemicals Group,FERTILIZER MANUFACTURED, MT,132264.384894,29005.318196,102872.13626328835,169739.569,29718.175218,106597.78408541564
2025-09,Agricultural And Other Chemicals Group,INSECTICIDES, MT,3091.854233,4066.4174,14422.109098300603,2757.4581150000004,2450.459168,8794.24622746168
2025-09,Agricultural And Other Chemicals Group,PLASTIC MATERIALS, MT,205464.67091350004,66535.478681,235974.9767878309,145111.44573320003,53896.616994,193383.74728525383
2025-09,Agricultural And Other Chemicals Group,MEDICINAL PRODUCTS, MT,3847.1120266,36337.112804,128862.29416341792,4458.591048399999,27185.968554,97553.14755966884
2025-09,Agricultural And Other Chemicals Group,OTHERS, - ,,124259.401155,440706.4308296008,,114035.92652,409112.8901257617
2025-09,Metal Group,GOLD,KG,0.0,0.0,0.0,54.9076,1282.810047,4602.854424833759
2025-09,Metal Group,IRON AND STEEL SCRAP, MT,359758.8653327,50097.185919,177677.32534000033,276485.607675,44579.581511,159946.9488732637
2025-09,Metal Group,IRON AND STEEL, MT,365171.2456178999,61660.763957,218662.8666224218,278977.3524169,51937.201292,186352.17463582204
2025-09,Metal Group,ALUMINIUM WROUGHT WORKED, - ,,7401.251786,26249.855856408674,,8535.74027,30632.88180788398
2025-09,Metal Group,ALL OTHER METALS ARTICALS, - ,,29955.463495,106230.77546037358,,27577.429146,98946.40547916191
